avg_total_reward,avg_snake_size,avg_food_eaten,avg_moves,max_snake_size,max_food_eaten,max_moves,max_total_reward,model,combo
-0.6105000000000004,1.021,0.021,10.0,2,1,20,27.0,0,0
-0.4572000000000011,1.026,0.026,9.157,2,1,25,27.0,1,0
-0.35340000000000016,1.033,0.033,10.764,2,1,19,27.0,2,0
-0.4845000000000004,1.027,0.027,10.951,2,1,25,27.0,3,0
-0.5235000000000004,1.022,0.022,8.667,2,1,18,27.0,4,0
-0.4170000000000002,1.031,0.031,11.456,3,2,22,54.3,5,0
-0.7116000000000007,1.021,0.021,11.173,2,1,17,27.0,6,0
-0.17939999999999956,1.039,0.039,11.039,2,1,25,27.0,7,0
-0.5628,1.026,0.026,11.335,2,1,23,27.0,8,0
-0.6314999999999996,1.023,0.023,11.552,2,1,17,27.0,9,0
-0.8579999999999998,1.016,0.016,11.21,2,1,16,27.0,10,0
-0.6261000000000005,1.024,0.024,11.338,2,1,18,27.0,11,0
-0.2252999999999997,1.037,0.037,10.923,3,2,23,53.7,12,0
-0.4671000000000007,1.028,0.028,11.058,3,2,20,53.7,13,0
-0.24269999999999975,1.038,0.038,10.801,2,1,21,27.0,14,0
-0.5478000000000008,1.026,0.026,11.527,2,1,19,27.0,15,0
-0.39960000000000057,1.025,0.025,9.179,2,1,28,27.0,16,0
-0.5393999999999999,1.027,0.027,11.494,2,1,16,27.0,17,0
-0.4638000000000001,1.025,0.025,9.26,3,2,24,54.0,18,0
-0.4392000000000002,1.03,0.03,11.038,2,1,21,27.0,19,0
-0.7206000000000007,1.016,0.016,8.825,2,1,18,27.0,20,0
-0.5475000000000004,1.027,0.027,10.968,2,1,20,27.0,21,0
-0.6549000000000007,1.022,0.022,11.149,2,1,18,27.0,22,0
-0.5844000000000006,1.024,0.024,11.488,2,1,17,27.0,23,0
-0.5697000000000009,1.025,0.025,11.387,2,1,18,27.0,24,0
-0.23549999999999965,1.034,0.034,11.108,3,2,26,54.0,25,0
-0.4959000000000002,1.027,0.027,11.047,2,1,22,27.0,26,0
-0.5073000000000001,1.024,0.024,9.828,3,2,21,54.0,27,0
-0.6795000000000012,1.021,0.021,11.015,2,1,26,27.0,28,0
-0.2519999999999997,1.032,0.032,9.413,3,2,27,52.8,29,0
-0.5256000000000007,1.027,0.027,11.07,2,1,21,27.0,30,0
